path,job_type,owner,resource_class,can_run_pre_market,can_run_regular_market,can_run_post_market,can_run_market_closed,current_policy_status,submit_surface_present,preview_surface_present,order_surface_present,recommended_action
scripts/check_intraday_research_readiness.py,lab_readiness,intraday_research,readiness_gate,true,true,true,true,READINESS_ONLY_NO_RESOURCE_POLICY,false,false,false,Keep read-only but include policy session in manifest
scripts/analyze_intraday_research_forensics.py,research_light,research,forensics_reader,true,true,true,true,READ_ONLY_NO_RESOURCE_POLICY,false,false,false,Low risk; no launch guard required unless scheduled
scripts/analyze_intraday_vwap_research.py,research_light,research,cached_vwap_analysis,true,true,true,true,READ_ONLY_NO_RESOURCE_POLICY,false,false,false,Keep cached-only and avoid provider refresh
scripts/analyze_vwap_candidate_confirmation.py,research_light,research,candidate_confirmation,true,true,true,true,READ_ONLY_NO_RESOURCE_POLICY,false,false,false,Keep confirmation read-only and out of submit surfaces
scripts/diagnose_intraday_pattern_funnel.py,research_light,research,db_diagnostics,true,true,true,true,READ_ONLY_DB_DIAGNOSTIC_NO_RESOURCE_POLICY,false,false,false,Low risk; add rate limit if cron scheduled
scripts/diagnose_discovery_benchmark.py,research_light,research,db_benchmark_diagnostics,true,true,true,true,READ_ONLY_DB_DIAGNOSTIC_NO_RESOURCE_POLICY,false,false,false,Low risk; do not run high-frequency during market hours
scripts/audit_intraday_wave_traceability.py,research_light,research,wave_audit,true,true,true,true,READ_ONLY_AUDIT_NO_RESOURCE_POLICY,false,false,false,Keep audit read-only and include policy metadata if scheduled
scripts/run_lab_shadow_scheduled_once.sh,lab_paper_probe,lab,cron_shadow_wrapper,true,true,false,false,LEGACY_ENV_SAFETY_GUARD_NO_RESOURCE_POLICY,false,false,true,Add lab_paper_probe guard after env safety check and before shadow loop
scripts/run_vwap_shadow_loop.py,lab_paper_probe,lab,shadow_loop,true,true,false,false,READ_ONLY_SHADOW_GUARD_NO_RESOURCE_POLICY,false,false,true,Add lab_paper_probe policy decision to loop summary
scripts/run_vwap_shadow_batch.py,lab_paper_probe,lab,shadow_batch,true,true,false,false,READ_ONLY_SHADOW_GUARD_NO_RESOURCE_POLICY,false,false,true,Add lab_paper_probe policy decision before batch execution
scripts/run_vwap_shadow_once.py,lab_paper_probe,lab,shadow_once,true,true,false,false,READ_ONLY_SHADOW_GUARD_NO_RESOURCE_POLICY,false,false,true,Add lab_paper_probe policy decision before smoke probe
scripts/check_lab_paper_readiness.py,lab_readiness,lab,paper_readiness,true,true,true,true,DRY_RUN_PREVIEW_NO_RESOURCE_POLICY,false,true,true,Keep bracket preview dry-run and include policy session state
scripts/cache_daily_ohlcv.py,research_heavy,daily_swing,ibkr_daily_cache,false,false,true,true,RESOURCE_POLICY_ENFORCED,false,false,false,Early JobType.RESEARCH_HEAVY guard before daily OHLCV cache fetch
scripts/check_daily_ohlcv_quality.py,research_light,daily_swing,daily_quality,true,true,true,true,READ_ONLY_NO_RESOURCE_POLICY,false,false,false,Keep quality check read-only
scripts/build_us_listed_stock_candidates.py,research_light,daily_swing,universe_seed_download,true,true,true,true,NETWORK_DOWNLOAD_NO_RESOURCE_POLICY,false,false,false,Keep outside market session if network/data provider load becomes material
scripts/plan_daily_gap_research_protocol.py,research_light,daily_gap,protocol_planner,true,true,true,true,PLANNER_ONLY_SELF_BLOCKED,false,false,false,Keep inert protocol generator
scripts/build_daily_gap_event_ledger.py,research_heavy,daily_gap,gap_ledger,false,false,true,true,SELF_BLOCKS_ORDER_FLAGS_NO_RESOURCE_POLICY,false,true,true,Add research_heavy guard in addition to order/preview/signal refusal
scripts/run_daily_gap_matrix_dry_run.py,heavy_backtest,daily_gap,gap_matrix,false,false,true,true,RESOURCE_POLICY_ENFORCED,false,true,true,Early JobType.HEAVY_BACKTEST guard before gap matrix dry-run
scripts/run_daily_gap_confirmatory_matrix.py,heavy_backtest,daily_gap,gap_confirmatory,false,false,true,true,RESOURCE_POLICY_ENFORCED,false,true,true,Early JobType.HEAVY_BACKTEST guard before confirmatory matrix
scripts/validate_daily_gap_backtest_matrix.py,research_light,daily_gap,matrix_validation,true,true,true,true,SELF_BLOCKS_ORDER_FLAGS_NO_RESOURCE_POLICY,false,true,true,Keep validation inert and preserve hidden flag refusal
scripts/validate_daily_gap_confirmatory_protocol.py,research_light,daily_gap,protocol_validation,true,true,true,true,SELF_BLOCKS_ORDER_FLAGS_NO_RESOURCE_POLICY,false,true,true,Keep validation inert and preserve hidden flag refusal
scripts/backtest_daily_swing_dss_pb_001.py,heavy_backtest,daily_swing,daily_backtest,false,false,true,true,RESOURCE_POLICY_ENFORCED,false,false,false,Early JobType.HEAVY_BACKTEST guard before cache-only backtest
scripts/backtest_daily_swing_dss_bo_001.py,heavy_backtest,daily_swing,daily_backtest,false,false,true,true,RESOURCE_POLICY_ENFORCED,false,false,false,Early JobType.HEAVY_BACKTEST guard before cache-only backtest
scripts/backtest_daily_swing_dss_co_001.py,heavy_backtest,daily_swing,daily_backtest,false,false,true,true,RESOURCE_POLICY_ENFORCED,false,false,false,Early JobType.HEAVY_BACKTEST guard before cache-only backtest
scripts/backtest_daily_swing_dss_cw_001.py,heavy_backtest,daily_swing,daily_backtest,false,false,true,true,RESOURCE_POLICY_ENFORCED,false,false,false,Early JobType.HEAVY_BACKTEST guard before cache-only backtest
scripts/backtest_daily_swing_dss_004g_c.py,heavy_backtest,daily_swing,daily_backtest,false,false,true,true,RESOURCE_POLICY_ENFORCED,false,false,false,Early JobType.HEAVY_BACKTEST guard before FDR/WRC/SPA run
scripts/run_daily_swing_dss_004c_autopsy.py,heavy_backtest,daily_swing,daily_audit,false,false,true,true,RESOURCE_POLICY_ENFORCED,false,false,false,Early JobType.HEAVY_BACKTEST guard before specificity autopsy
scripts/run_daily_swing_dss_004c_a.py,heavy_backtest,daily_swing,daily_audit,false,false,true,true,RESOURCE_POLICY_ENFORCED,false,false,false,Early JobType.HEAVY_BACKTEST guard before specificity audit
scripts/run_daily_swing_dss_004c_r.py,heavy_backtest,daily_swing,daily_audit,false,false,true,true,RESOURCE_POLICY_ENFORCED,false,false,false,Early JobType.HEAVY_BACKTEST guard before reconciliation audit
scripts/run_daily_swing_dss_004d.py,heavy_backtest,daily_swing,daily_audit,false,false,true,true,RESOURCE_POLICY_ENFORCED,false,false,false,Early JobType.HEAVY_BACKTEST guard before contraction audit
scripts/run_daily_swing_dss_004e.py,heavy_backtest,daily_swing,daily_audit,false,false,true,true,RESOURCE_POLICY_ENFORCED,false,false,false,Early JobType.HEAVY_BACKTEST guard before research-150 audit
scripts/run_daily_swing_dss_004f.py,heavy_backtest,daily_swing,daily_audit,false,false,true,true,RESOURCE_POLICY_ENFORCED,false,false,false,Early JobType.HEAVY_BACKTEST guard before episode/timing autopsy
scripts/diagnose_ibkr_connectivity.py,lab_readiness,ops,ibkr_tcp_probe,true,true,true,true,READ_ONLY_PORT_GATE_NO_RESOURCE_POLICY,false,false,false,Keep live-port block and no IBKR API use
scripts/probe_ibkr_historical_readonly.py,lab_readiness,ops,ibkr_historical_probe,true,true,true,true,READ_ONLY_PORT_GATE_NO_RESOURCE_POLICY,false,false,false,Keep read-only setting and paper-port validation before provider call
scripts/probe_ibkr_api_session_readonly.py,lab_readiness,ops,ibkr_api_probe,true,true,true,true,READ_ONLY_PORT_GATE_NO_RESOURCE_POLICY,false,false,false,Keep read-only and paper-port validation before handshake
scripts/check_tradeo_operability.py,lab_readiness,ops,operability_preflight,true,true,true,true,PREFLIGHT_SAFETY_CHECK_NO_RESOURCE_POLICY,false,false,true,Keep as preflight; do not use as resource enforcement substitute
scripts/notify_tradeo_orders.sh,nightly_report,ops,order_notification,true,true,true,true,NOTIFIER_EXTERNAL_MESSAGE_NO_RESOURCE_POLICY,false,false,true,Do not run from resource policy; keep notifier read-only and audited
scripts/notify_new_pattern_alerts.py,nightly_report,ops,pattern_notification,true,true,true,true,NOTIFIER_EXTERNAL_MESSAGE_NO_RESOURCE_POLICY,false,false,false,Keep alert cron separate from research execution gates
ops/scripts/director_audit_ci.py,research_light,audit,director_audit,true,true,true,true,AUDIT_RUNNER_NO_RESOURCE_POLICY,false,false,false,Keep audit CI read-only and schedule outside market if expensive
research/audit_bridge/run_director_audit.py,research_light,audit,director_audit_loop,true,true,true,true,AUDIT_RUNNER_NO_RESOURCE_POLICY,false,false,false,Keep as audit loop; add policy metadata if scheduled by cron
research/audit_bridge/director_gate.py,research_light,audit,director_gate,true,true,true,true,AUDIT_GATE_NO_RESOURCE_POLICY,false,false,true,Keep gate conservative and do not promote to submit authority
research/audit_bridge/export_audit_package.py,research_light,audit,audit_export,true,true,true,true,AUDIT_EXPORT_NO_RESOURCE_POLICY,false,false,true,Keep export read-only and redact order/fill identifiers
research/audit_bridge/validate_audit_package.py,research_light,audit,audit_validation,true,true,true,true,AUDIT_VALIDATION_NO_RESOURCE_POLICY,false,false,true,Keep validation read-only and reject raw order identifiers
